CUSTOMER -> | id customer:18 | n. bought products:16 | time in the supermarket: 0.423 s | time in queue: 0.393 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:28 | n. bought products:21 | time in the supermarket: 0.455 s | time in queue: 0.445 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:42 | n. bought products:45 | time in the supermarket: 0.993 s | time in queue: 0.963 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:30 | n. bought products:32 | time in the supermarket: 1.137 s | time in queue: 1.095 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:12 | n. bought products:9 | time in the supermarket: 1.235 s | time in queue: 1.199 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:41 | n. bought products:63 | time in the supermarket: 1.741 s | time in queue: 1.691 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:29 | n. bought products:75 | time in the supermarket: 2.798 s | time in queue: 2.760 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:23 | n. bought products:92 | time in the supermarket: 3.050 s | time in queue: 3.006 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:47 | n. bought products:22 | time in the supermarket: 3.299 s | time in queue: 3.255 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:1 | n. bought products:2 | time in the supermarket: 3.402 s | time in queue: 3.350 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:36 | n. bought products:87 | time in the supermarket: 3.506 s | time in queue: 3.446 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:13 | n. bought products:39 | time in the supermarket: 4.312 s | time in queue: 4.247 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:35 | n. bought products:57 | time in the supermarket: 4.604 s | time in queue: 4.548 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:19 | n. bought products:97 | time in the supermarket: 5.063 s | time in queue: 4.980 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:43 | n. bought products:51 | time in the supermarket: 5.365 s | time in queue: 5.251 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:24 | n. bought products:50 | time in the supermarket: 5.667 s | time in queue: 5.595 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:48 | n. bought products:28 | time in the supermarket: 6.288 s | time in queue: 6.215 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:7 | n. bought products:84 | time in the supermarket: 6.818 s | time in queue: 6.723 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:31 | n. bought products:86 | time in the supermarket: 7.104 s | time in queue: 6.985 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:17 | n. bought products:62 | time in the supermarket: 7.591 s | time in queue: 7.512 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:32 | n. bought products:40 | time in the supermarket: 7.929 s | time in queue: 7.806 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:25 | n. bought products:80 | time in the supermarket: 8.490 s | time in queue: 8.389 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:20 | n. bought products:3 | time in the supermarket: 8.624 s | time in queue: 8.513 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:37 | n. bought products:69 | time in the supermarket: 9.034 s | time in queue: 8.945 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:6 | n. bought products:3 | time in the supermarket: 9.157 s | time in queue: 9.066 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:74 | n. bought products:17 | time in the supermarket: 0.517 s | time in queue: 0.411 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:9 | n. bought products:92 | time in the supermarket: 9.795 s | time in queue: 9.668 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:50 | n. bought products:87 | time in the supermarket: 10.436 s | time in queue: 10.307 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:49 | n. bought products:81 | time in the supermarket: 10.838 s | time in queue: 10.736 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:27 | n. bought products:39 | time in the supermarket: 11.291 s | time in queue: 11.159 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:33 | n. bought products:74 | time in the supermarket: 11.300 s | time in queue: 11.149 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:45 | n. bought products:10 | time in the supermarket: 11.526 s | time in queue: 11.361 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:26 | n. bought products:33 | time in the supermarket: 11.561 s | time in queue: 11.456 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:76 | n. bought products:76 | time in the supermarket: 1.778 s | time in queue: 1.592 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:44 | n. bought products:5 | time in the supermarket: 11.723 s | time in queue: 11.611 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:14 | n. bought products:45 | time in the supermarket: 12.264 s | time in queue: 12.123 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:15 | n. bought products:26 | time in the supermarket: 12.857 s | time in queue: 12.712 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:46 | n. bought products:68 | time in the supermarket: 12.911 s | time in queue: 12.742 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:38 | n. bought products:74 | time in the supermarket: 13.266 s | time in queue: 13.149 s | n. queues checked: 1 | 
