Cliente -> | id Cliente:16 | n. bought products:38 | time in the supermarket: 0.003 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:40 | n. bought products:16 | time in the supermarket: 0.001 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:47 | n. bought products:4 | time in the supermarket: 0.000 s | time in queue: 0.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:42 | n. bought products:4 | time in the supermarket: 0.001 s | time in queue: 0.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:35 | n. bought products:15 | time in the supermarket: 0.002 s | time in queue: 0.002 s | n. queues checked: 1 | 
Cliente -> | id Cliente:48 | n. bought products:10 | time in the supermarket: 0.001 s | time in queue: 0.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:53 | n. bought products:11 | time in the supermarket: 0.001 s | time in queue: 0.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:2 | n. bought products:14 | time in the supermarket: 1.002 s | time in queue: 0.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:5 | n. bought products:27 | time in the supermarket: 1.002 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:20 | n. bought products:9 | time in the supermarket: 1.001 s | time in queue: 0.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:59 | n. bought products:17 | time in the supermarket: 0.002 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:31 | n. bought products:17 | time in the supermarket: 1.002 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:41 | n. bought products:22 | time in the supermarket: 1.001 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:39 | n. bought products:10 | time in the supermarket: 1.001 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:13 | n. bought products:21 | time in the supermarket: 2.001 s | time in queue: 0.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:28 | n. bought products:51 | time in the supermarket: 2.001 s | time in queue: 1.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:26 | n. bought products:16 | time in the supermarket: 2.002 s | time in queue: 1.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:19 | n. bought products:28 | time in the supermarket: 2.003 s | time in queue: 0.002 s | n. queues checked: 1 | 
Cliente -> | id Cliente:66 | n. bought products:5 | time in the supermarket: 0.001 s | time in queue: 0.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:17 | n. bought products:68 | time in the supermarket: 3.002 s | time in queue: 1.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:23 | n. bought products:75 | time in the supermarket: 3.003 s | time in queue: 1.002 s | n. queues checked: 1 | 
Cliente -> | id Cliente:29 | n. bought products:57 | time in the supermarket: 4.001 s | time in queue: 1.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:27 | n. bought products:22 | time in the supermarket: 4.002 s | time in queue: 1.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:54 | n. bought products:65 | time in the supermarket: 4.999 s | time in queue: 1.998 s | n. queues checked: 1 | 
Cliente -> | id Cliente:43 | n. bought products:57 | time in the supermarket: 5.001 s | time in queue: 1.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:18 | n. bought products:98 | time in the supermarket: 6.001 s | time in queue: 2.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:65 | n. bought products:52 | time in the supermarket: 4.002 s | time in queue: 2.002 s | n. queues checked: 1 | 
Cliente -> | id Cliente:61 | n. bought products:29 | time in the supermarket: 5.001 s | time in queue: 2.000 s | n. queues checked: 1 | 
Cliente -> | id Cliente:12 | n. bought products:68 | time in the supermarket: 6.005 s | time in queue: 1.004 s | n. queues checked: 1 | 
